,text,labels
129,kichwa cha bt kilikuwa kipingamizi kama hicho,negative
130,Ni mdogo sana na hata hung'amui kwamba upo baada ya muda wa kuzoea jambo hilo,positive
131,Programu inayoambatana nayo ni nyangavu sana,positive
132,Vifaa vya kufunika kichwa vilipakiwa vizuri ili kuepuka madhara yoyote,positive
133,i definlypendekeza,positive
134,Mnunuzi mwangalifu sana,negative
135,mengi ya vichwa vya keartewbud yalishindwa kufanya kazi,negative
136,Vitu vizuri sana kwa bei,positive
137,kichwa changu hufanyia kazi pichrykeen tu,positive
138,ndani ya nyumba yangu nilikuwa nikiangusha magazeti kwenye orofa ya juu bila ya kuweka habari zozote katika chumba changu cha chini ya ardhi,negative
139,sauti inatambuliwa sana,positive
140,Unao babua ngozi ya kichwa!,negative
141,katika dakika kadhaa tofauti - tofauti za simu i walipiga hizo mara 5 na ilikuwa katika eneo lenye baa 5,negative
142,mimi sikufurahishwa na habari hii,negative
143,Alivunjika moyo sana,negative
144,simu huchukua muda wa saa 2 hadi 5 kwa halisi,negative
145,Nilifikia simu hii kwa kupigiwa upya kutoka kwa mtu wa ukoo na kwa furaha ilikuja,positive
146,Huu ndio ufikisho!,negative
147,Karamu yake ni maskini sana,negative
148,Vitu vinavyotajwa katika ufafanuzi huo havitiwi ndani,negative
149,baada ya miezi 3 kiwambo cha video kiliacha kuwa cheusi kwa ghafula,negative
150,Mimi nilikuwa na matumaini ya kupata zaidi,negative
151,Ubora wa sauti ni mbaya sana,negative
152,Sikuwa na tatizo lolote na kichwa hiki kilichounganisha mpindo wangu wa blackberry 8530,positive
153,Ninajua hilo laonekana kuwa jambo la kuchekesha lakini kwangu lilionekana kama tekinolojia ya michoro ambayo ingefanya kazi vizuri sana huyu ni maarufu,positive
154,Alinunua vidude 5 vya kuchezea vyenye nyaya vinavyosikika vizuri kuliko vile vinavyosikika,negative
155,Simu hii ni ya haraka sana kwa kutuma ujumbe wa aina yoyote na kupitia mtandao ni ya haraka zaidi kuliko simu za awali ambazo nimetumia,positive
156,Sifa nzuri hujenga tofauti na zile za bei ya chini huko,positive
157,kitu hiki ni kizuri ajabu na kinafanya kazi kikamilifu,positive
158,"Na rangi zilizo jaa,",positive
159,w810i ni nzuri sana,positive
160,Yote ninayoweza kufanya ni sawa kwenye mtandao wa intaneti kwa hiyo hapa ni sawa kutumia kitu kidogo kama hiki,negative
161,Mwendeshaji mkuu,positive
162,Kwa msingi huu ni chombo cha mawasiliano kisichowasiliana,negative
163,hufanya kazi kama kitu cha kuvutia kama ile ambayo mimi alipata kwa simu,positive
164,Bado ninasisitiza kwamba tumbili hutengeneza vidude vya kusikiliza sauti ambavyo kwa wazi hatushirikina vya kutosha kuiga ubuni huo kwa wanadamu,negative
165,thamani kubwa,positive
166,inafanya kazi ya kui bougth kwa ajili ya l7c wangu na kile kisichofanya kazi,negative
167,sehemu yake ya ndani ni yenye ncha kali sana na kiwambo ni kizuri na wazi kwa picha nyingi,positive
168,haidumu kwa muda mrefu,negative
169,Jambo moja ambalo ninachukia ni namna ya kifungo cha kando,negative
170,Utumishi bora kabisa,positive
171,Asanteni kwa kupoteza pesa zangu,negative
172,Ni jinsi gani ubora huo wa sauti ulivyo duni,negative
173,Wasimamizi wa igo na madokezo ni makubwa sana,positive
174,kikanyagio cha faili chatoa chaguo lote ambalo mtu ahitaji bila malipo ni kubwa,positive
175,Simu ya mkononi kwenye mtandao mkubwa,positive
176,Iliunganisha mke wangu bluetothmotorola h850 kwa simu yangu na ilikuwa kama hirizi kama simu ilikuwa mfukoni mwangu au kwenye kisanduku cha kesi,positive
177,Naweka okski za karibuni zaidi juu yake v115g na sasa hupenda kupunguza mwendo wa kutambaa na kufunga kila mara kwa muda,negative
178,anaitambua tu simu kuwa kifaa chake cha kuhifadhi,negative
179,Ikiwa unapenda kelele kubwa ili kushinda mazungumzo yako yote basi simu hii ni yako,negative
180,Usinunue bidhaa hii,negative
181,Kituo hicho kilikuwa na kichwa cha rangi ya bluu natoothi kwa muda fulani sasa na bado hakistareheshwi na jinsi kinavyotoshea sikioni,negative
182,ubora wa sauti ni mzuri na hufanya kazi ni wenye kutisha,positive
183,Nina simu hii na ni mwiba upande wangu na huuchukia sana,negative
184,Hivi majuzi nilikuwa na matatizo mahali ambapo singeweza kukaa tukiunganishwa kwa zaidi ya dakika 10 kabla ya kutenganishwa,negative
185,la kustaajabisha,positive
186,Kasoro ya ubuni,negative
187,simu ya juu,positive
188,Haki za paa 13,negative
189,"lakini ninapoangalia ujumbe wakati wa usiku, taa ya ufunguo ya nyuma hugeuka sekunde chache kuingia katika ujumbe wa kwanza kisha ipoteze fahamu",negative
190,mtu mwingine alikufa baada ya majuma machache,negative
191,simu nzuri za mkononi za kununua,positive
192,Hivi karibuni wamekuwa wazuri sana na wenye kusaidia kwenye simu,positive
193,Nimekuwa na matatizo ya akili kupoteza ishara za mwili na nyingine zaidi,negative
194,haikuvutia,negative
195,Uzito mwepesi hauwezi kuonekana huko,positive
196,Mwanasesere anapenda jinsi alivyo mwembamba,positive
197,Uamuzi mbaya,negative
198,ile kesi ya dethed haifai,negative
199,Simu zisizofaa ni za viziwi tu,negative
200,rangi hiyo ni maridadi kuliko nilivyofikiri na picha zake ni kali sana,positive
201,Zote nafikiri zilikuwa kitega - uchumi kizuri,positive
202,Huvuma kwa njia ya ajabu sana kabla hajamaliza mlio,negative
203,Kifaa bora zaidi cha elektroni cha transm,positive
204,betri hudumu kwa muda wa saa chache tu,negative
205,"mwenye kichwa kikubwa alivutiwa sana na h,500",positive
206,kamera kubwa mno 12 ya pixel ikiwa sehemu ya simu kwa kiasi cha kutosha ni pamoja na7,positive
207,Nilikuwa na kazi hiyo kwa karibu miaka 2 na imenisaidia sana,positive
208,kaseti za kupitisha habari,positive
209,Hakika Sisi ndio wenye kutuma.,negative
210,Sikujishughulisha na kuwasiliana na kampuni hiyo kwa bei ya dola chache lakini mimi nilipata somo la kwamba mimi nisingalipaswa kununua fomu hii mtandaoni hata hivyo,negative
211,ukichukia vibano vya masikio huepuka simu hii kwa vyovyote,negative
212,Bei kubwa pia,positive
213,safu ni nzuri sana kuweza kutembea - tembea nyumbani kwangu kwa simu katika sebule bila masuala ya ubora wa hali ya juu,positive
214,Utumishi wa haraka,positive
215,Laiti ungependekeza sana jambo hili,positive
216,Ningependekeza jambo hili,positive
217,Pia sikupenda kile kifungo kilichobaki kana kwamba kingepasuka kwa utumizi,negative
218,simu mbaya zaidi kuwahi kupigwa,negative
219,bado anapumbazwa na simu hii,positive
220,mganda mara nyingi4,negative
221,aina yake ya aibu kutumia kwa sababu ya sura yake na hasa aibu yake kwa jinsi kampuni hiyo ilivyo kama mtoto,negative
222,nyepesi na nzito,positive
223,Yote kwa ujumla yalitazamia uzoefu bora zaidi wa ununuzi kutoka kwa motaola,negative
224,sauti ya kupe yenye kuogofya katika mandhari - nyuma kwenye milio yangu yote ambayo sijawahi kuiona,negative
225,Hakika hii bila ya shaka ni haki ya kupambanua.,positive
226,Kwa kawaida sipendi kufunga kichwa lakini huu ni mwepesi sana hauharibu nywele zangu,positive
227,anavunjika moyo kidogo,negative
228,Nimekuwa na simu hii kwa zaidi ya mwaka mmoja sasa na ninakuambia hiyo si kubwa hivyo,negative
229,Niliagiza hii kwa ajili ya sory ericsson w810i lakini nafikiri ilifanya kazi mara moja tu nilipoitumia mara ya kwanza,negative
230,betri haina thamani yoyote kwangu,negative
231,Huu ndio ufikisho!,negative
232,Usiupotezee huu,negative
233,Sauti kubwa na utumishi,positive
234,sasa nimependezwa sana na bidhaa hiyo,positive
235,moja kati ya vitu ninavyopenda zaidi,positive
236,Kivutio kizuri zaidi cha buluu sokoni,positive
237,Ngozi halisi yenye mng'aro na faraja nzuri inakupendekeza kisa hiki,positive
238,Nilisisimuka sana kupata kichwa hiki kwa sababu nilifikiri kilikuwa chenye kuvutia kweli kweli,positive
239,Usifanye kosa kama langu,negative
240,Kukatishwa tamaa sana kwa kutumia kalenda,negative
241,simu haikuweza kuzimwa na haikuwa mpya,negative
242,Huduma mbaya zaidi ya mteja wakati wowote,negative
243,Mabuku ya masikio hayakutoa tena maagizo yoyote,negative
244,Unababua ngozi iwe nyeusi.,negative
245,thamani ya kila sarafu,positive
246,Kisa bora kabisa cha simu ya mkononi,positive
247,Vyeo vizuri vya sauti kwa bei na vinafanya kazi nyingi,positive
248,Mtandao wa intaneti ni wa polepole sana,negative
249,Inastarehesha sana kuvaa vizuri na labda ndiyo sehemu ya maana zaidi kuhusu kutumia kisa fulani,positive
250,Linapatana na glove na ni lenye nguvu na lenye kudumu,positive
251,ondoe simu yangu ya mkononi iliyo bora zaidi ambayo tumepata kuwa nayo,positive
252,Ni yenye kuvutia sana na huonekana kuwa bora,positive
253,Ninawashukuru kwa mambo yote na umbo lake,positive
254,Bidhaa hiyo ilikuwa na harufu kali ya mpira wa mpira wa rangi ambayo haikuvumilika baada ya muda fulani na ikanifanya niirudishe,negative
255,Sifa mbaya na utumishi,negative
256,waya huonekana mwembamba sana na dhaifu sana hivi kwamba inatisha,negative
257,Sakafu kubwa ya sikio,positive
258,Kifaa bora kabisa cha mkononi bila malipo,positive
259,kwa kutumia stirio ya nyumbani kwako,positive
260,bidhaa yenye thamani ya ajabu,positive
261,mwezi mmoja tu ulikuwa na kazi yake lakini bila dosari yoyote kufikia sasa,positive
262,ni kazi kubwa,positive
263,follow foot,negative
264,kwamba ama yule aliyeshindwa kufanya kazi ama,negative
265,Maisha ya betri ni mazuri sana,positive
266,Nilirudi muda wa saa 8 baadaye,negative
267,Ambaye hutoa mali yake kwa ajili ya kujitakasa.,positive
268,Usipoteze pesa zako,negative
269,Penda kichwa hiki,positive
270,Si kwamba tu itaondoa hewa mwilini mwako bali pia huenda ikaihifadhi,negative
271,alifanya kazi kikamilifu,positive
272,Kutotegemeka kwa kukata tamaa,negative
273,Imetoa nyota 5 kwa sababu ya ubora wa sauti,positive
274,◯ ◯ ◯ ◯ ◯ ◯ ◯,negative
275,Plagi inayoweza kurekebishwa huwa na matokeo makubwa,positive
276,Na nitumie kifaa hiki kidogo cha sikio kupoteza pesa zangu,negative
277,simu nzuri sana,positive
278,Jambo bora zaidi ni sehemu inayozunguka ambayo inasaidia sana,positive
279,faraja kwa familia yetu yote,positive
280,bidhaa nzuri ya kuuzwa,positive
281,Ninaipenda rangi hii ya bluu,positive
282,ya kwanza kabisa haivai vizuri,negative
283,Nimevutiwa sana na kichwa hiki kilichowekwa kutoka kwa wataalamu wa elimu ya mimea,positive
284,Niliipata kwa sababu ilikuwa ndogo sana na yenye kupendeza,positive
285,simu ya juu,positive
286,int alipendekeza kununua bidhaa hii,negative
287,sehemu ya takataka,negative
288,Bafu la jicho lisilo na kasoro,negative
289,Kitu hiki ni kikubwa na kiachi kitumiwe kupita kiasi na kimekuwa kikitenda mema kila wakati bila matatizo yoyote,positive
290,simu ya juu,positive
291,Usiinunue,negative
292,paper size,positive
293,Usinunue simu hii,negative
294,Na alama nyengine. Na kwa wenye kukataza mabaya.,positive
295,Hii ni simu bora zaidi iliyowahi kupatikana,positive
296,hufanya kazi vizuri wakati paka wangu alipoishambulia simu aliyoikuna kwenye ukanda wa ulinzi badala ya kuharibu kiwambo,positive
297,"haya ni ya kazi, nayo ya bei nafuu",positive
298,Utumizi wa wateja ulikuwa mbaya sana,negative
299,Maisha ya betri bado si marefu vya kutosha katika nyembe za marola v3i,negative
300,Uirudishe.,negative
301,Sasa najua kwamba nilifanya uamuzi wenye hekima,positive
302,Mtu fulani alivumbua hili mapema zaidi,positive
303,Bei nzuri,positive
304,kila kitu kilichotumiwa katika jaribio la kwanza bila shaka kiliundwa kwa njia ya werevu na ujenzi uhisi vizuri,positive
305,Kilipokewa kwa haraka na kwa matokeo mazuri,positive
306,Hakika yeye ni mwenye bahati kubwa.,positive
307,Watu wengi walipolalamika kwamba mimi alipata maikrofoni hii ya vichwa vikuu kuwa dhaifu sana,negative
308,nokia 2160 mwenye umri wa miaka mitano kutoka tracfene anashikilia shtaka hilo vizuri kuliko hili,negative
309,hawajali mnunuzi hata kidogo,negative
310,Hii ni betri nzuri na ilipata hapa kwa kasi sana,positive
311,kitabu cha maagizo hakipo,negative
312,Pia ni mwembamba vya kutosha kutoshea ndani ya kituo changu cha kuweka kengele bila kuondoa hiyo kesi,positive
313,Sasa simu hubeba mashtaka kama ilivyofanya ilipokuwa mpya,positive
314,betri haitegemeki na vilevile huduma zinazotumika kwa kuchana,negative
315,hali yake isiyostarehesha na sauti ni mbaya sana ikilinganishwa na razr ya simu au na kichwa changu cha nyuma kilichounganishwa kwa waya ambacho kimeunganishwa na sing'aa,negative
316,Tumesifu sana jambo hilo,positive
317,hii ni lazima iwe ni hii ikiwa serikali yako hairuhusu matumizi ya simu za mkononi unapoendesha gari,positive
318,Nataka pesa zangu zirudi,negative
319,Thamini kifaa hiki,positive
320,Pia nina furaha sana kwa bei,positive
321,Niliagiza bidhaa hii kwanza na kukosa furaha nayo mara moja,negative
322,Ng'ombe bado hawana masikio,negative
323,Niliweza kupiga mayowe ndani ya gari bila tatizo lolote,positive
324,Nina simu yangu ya mkononi yenye simu 23 ninapokuwa nyumbani lakini huwezi kusikia chochote,negative
325,bei nafuu,positive
326,"Hata hivyo, michezo hiyo si bora zaidi na michezo hiyo si bora zaidi",negative
327,plagi haikufanya kazi vizuri sana,negative
328,Kiruu cha amazon,negative
329,print operation status,negative
330,Inastarehesha sana,positive
331,betri inafanya kazi vizuri na badala ya ile ya awali iliyokuja kwa simu zaidi ya miaka 2 iliyopita,positive
332,"Basi karamu yake ni bora,",positive
333,Unapatana vizuri katika sikio lolote lile sauti ni safi na yenye sauti ya juu na shtaka hilo hudumu kwa siku kadhaa,positive
334,Sauti iliyo wazi sana na si lazima iharibu sauti yako kwenye kifaa cha kupigia muziki baada ya kuwa na vibonyezo vya sauti kichwani,positive
335,1 betri ya muda mrefu ambayo huhitaji kuiingiza tena mara nyingi kama baadhi ya simu za flip2,negative
336,Kwa wazi kuna tatizo katika gundi,negative
337,Kutamauka sana,negative
338,Ilikuwa kipande cha bei nafuu lakini bado ningetazamia ubora zaidi,negative
339,Ni kazi bure kabisa na haikuongeza kitia - moyo chochote kwenye mapokezi yangu baada ya mimi kuinunua,negative
340,Ubora bora kabisa wa sauti,positive
341,hakuwa na furaha,negative
342,kipande cha takataka kilichokatika baada ya kuwa kwenye simu kwa siku 2,negative
343,betri mpya hufanya kazi nyingi katika simu,positive
344,Huduma za wateja zilizo mbaya zaidi,negative
345,Kuangusha simu yangu mara nyingi zaidi ya vile ninavyoweza kusema hata kwenye saruji na simu yangu bado inagonga sana mbao,positive
346,Karamu ni mbaya sana na imejaa tuli,negative
347,ubora wa sauti,positive
348,Kifaa hiki kidogo kimebadili uwezo wangu wa kitengenezo na kufanya maisha yangu yawe rahisi zaidi,positive
349,Mimi nilikuwa nimeketi ndani ya gari langu huku kitanda kikiwa juu ya mshipi wangu na kichwa kikipoteza ishara,negative
350,zilipigwa kwa ghafula kwenye simu,negative
351,hufanya kazi kama hirizi inayotangazwa,positive
352,Maisha mazuri ya betri,positive
353,habari zao katika los Angerea ni mbaya sana,negative
354,Kibonyezo kizuri kisicho na waya,negative
355,chaguo la kikuza - sauti ni kubwa sana kwa taa hizo kuwa zenye kuvutia sana,negative
356,jambo pekee ambalo nafikiri lingeweza kuboresha ni sauti inayotoka kwenye kichwa,negative
357,kwanza kutoka kwenye vidimbwi vya kupangusia maji ni hajawahi kamwe kuwa na zaidi ya baa 2,negative
358,simu huwa moto sana,negative
359,maikrofoni pia hufanya kazi vizuri lakini kwa mujibu wa watu nimeita inarembesha kila kitu,positive
360,Ubuni na ubora mzuri,positive
361,Pia ikiwa simu yako inaangushwa kesi hii haitaihifadhi inapoangushwa chini,negative
362,Ni rahisi kutumia na kupokea na kupitisha kwa urahisi sana,positive
363,njia isiyofaa ni kubwa mno,negative
364,Haikuwa nzuri kama miaka yangu ya 11,positive
365,Kifaa chenye kutisha,positive
366,Kutumia pesa vibaya,negative
367,Nilikuwa nimeagiza kebo ya data ya motaola imalizike sana na bidhaa ya kufanyia kazi,positive
368,Penda simu hii,positive
369,Nilikuwa nikitafuta kifaa hiki kwa muda mrefu na sasa kwa kuwa kikuza - sauti hicho kingeweza kuwa chenye furaha zaidi,positive
370,nikiwa mgonjwa na kichwa changu kianzapo kulia bila sababu,negative
371,picha ni bora na kamera ni nzuri kama ile ya mwaka huo,positive
372,Maisha ya betri ni mazuri pia,positive
373,ile simu mbaya zaidi iliyowahi kupatikana ilikuwa na simu hiyo kwa miezi michache tu,negative
374,si kitu kizuri kilichofanya kazi kwa muda fulani kisha kikaanza kuwa na matatizo katika mashine yangu ya kubadili mashine,negative
375,Haya ni maneno yanayokera sana na pia yanaumiza masikio yangu kama ninajaribu kusukuma sikio ndani ya sikio langu,negative
376,inalinda simu kila upande,positive
377,Hii ni simu ya wastani yenye mfumo dhaifu wa betri,negative
378,anga lisilo na mawingu huita urefu wa muda mrefu wa maisha ya betri,positive
379,Teknolojia ya soyoy hunyonya,negative
380,kifaa cha mkononi bila malipo,positive
381,unaweza hata kupiga picha za nje zikiwa baridi sana,positive
382,Tatizo sawa na lile ambalo wengine wametaja,negative
383,"baada ya kujaribu vifaa vingi visivyotumia umeme, hiki ndicho hatimaye hufanya kazi vizuri",positive
384,Msaada wa kimzungu,positive
385,Kipande kilicho kibaya zaidi kilichowahi kufanywa pamoja na huduma ya wateja ya verizon,negative
386,Sifa mbaya ya sauti,negative
387,simu bora zaidi sokoni,positive
388,ilikuwa na matokeo sana,positive
389,Kampuni ilisafirisha bidhaa zangu upesi sana na kufanya kazi vizuri,positive
390,Hasa nilichotaka,positive
391,azimio la picha liko chini sana ya kile ambacho simu nyingine zenye kulinganishwa zinatoa leo,negative
392,Hakika huku bila ya shaka ndiko kufuzu kukubwa.,positive
393,Bidhaa bora kabisa ambayo nimeridhika sana na ununuzi,positive
394,Nawapendekezea watu hawa na kuwatia moyo wajaribu,positive
395,Ni bora kuliko hayo mnayo yatarajia.,positive
396,Kwa kutumia vifaa vyote vya masikio kushoto au kulia jambo hili halitabaki kwenye sikio langu,negative
397,Bidhaa na bei kubwa,positive
398,yasikika kuwa yenye bei ya kiasi na yenye matokeo kwa kadiri hiyo rahisi,positive
399,bado anasubiri kwa uhakika kwamba kitu hiki kitafanya kazi vizuri kama nitakavyopata kukirekebisha,negative
400,hilo ni jambo lenye kuvunja moyo sana,negative
401,Utumishi wa haraka sana,positive
402,Bidhaa bora kabisa kwa bei,positive
403,amependezwa sana na picha hii ya kichwa,positive
404,Usipoteze pesa na wakati wako,negative
405,Ninapenda hasa maisha marefu ya betri,positive
406,yake ya kipumbavu sana ili kulazimika kuendelea kununua waendesha - magari wapya vibebeo vya vifaa vya kuchezea masikioni na vifaa vya gari kila wakati simu mpya inapotolewa,negative
407,ni kazi kubwa,positive
408,Bidhaa bora zaidi za rangi ya bluu,positive
409,Imekuja kutoka verizon kwa sababu cingulair ana simu nzuri zaidi za mkononi kitu cha kwanza nilichoona ni huduma mbaya kwelikweli,negative
410,mgonjwa anatafuta kifaa kipya cha sikio,negative
411,ipendekeza sana kifaa hiki kwa kila mtu,positive
412,Enzi ya taya ni yenye kutisha pia,positive
413,Tulipata betri nyeupe ya rangi ambayo hufa baada ya saa mbili za awali kutumiwa kwa juma moja lakini bado hudumu kwa muda mrefu kuliko mahali pa kuishi,negative
414,baada ya mwaka mmoja betri ilikufa kabisa kichwani mwangu,negative
415,Nimetumia simu kadhaa kwa miaka miwili lakini hii ndiyo bora zaidi,positive
416,utafutaji mpya wenye kustaajabisha wa vuli ya 2000,positive
417,Hii ndiyo simu ya kwanza kutengenezwa kwa bei rahisi sana,negative
418,Si vizuri kusikia sauti chafu na ni lazima upige mayowe unapozungumza,negative
419,plastiki hukatika kwa urahisi sana kwenye kipande hiki,negative
420,Bei ni nzuri pia,positive
421,Usifanye kosa hilohilo.,negative
422,oh na nilisahau pia kutaja athari ya ajabu ya rangi hiyo kwenye simu yako,negative
423,Na zinazo kwenda kwa wepesi.,positive
424,Pia eneo ambamo kikosi changu kilivunjika halipendeki sana ile kamba ya sumaku,negative
425,Kwa ujumla mimi huwa na nia ya kuwa na simu ambayo ina miadi yangu yote na mawasiliano yangu na kupokea ukaribishaji mkubwa,positive
426,kila kitu kwenye simu kinafanya kazi kikamilifu.,positive
427,Habari nyingine kuhusu sura hii ya simu ni kwamba kwa kweli huonekana kama bland hasa katika namna zote nyeusi,negative
428,Kwa kweli ni rahisi zaidi kwake,positive
429,sanyo ameokoka maporomoko mengi ya maji kwenye paa nyeusi bila athari mbaya,positive
430,Vipaza - sauti vyenye kuvutia vya sikio,positive
431,linapata simu yangu ya mkononi mara tu niingiapo ndani ya gari,positive
432,paper size,negative
433,Napendekeza sana simu hii ya mkononi yenye bei ya juu,positive
434,lakini unapata furaha na uwazi zaidi kuliko simu yoyote ile iliyokuwa nayo awali,positive
435,Onyo litoweke!,negative
436,Laiti ningerudisha fomu hiyo na kurudisha pesa zangu,negative
437,kifaa kidogo hufanya kazi nyingi sana,positive
438,Nilikuwa nikiizungumzia kwa muda wa saa 1 12 na betri ingekaushwa kihalisi na kufa,negative
439,Kama huoni jambo hilo kuwa baya sana kwa kuwa tena kiungo hicho huja na sikio moja tu lisiloweza kupendekeza hilo kwa mtu yeyote,negative
440,Aliudhika sana,negative
441,Huenda nimerithi kasoro lakini hatungeweza kuinunua tena kwa sababu ya ubora wa jengo pekee,negative
442,walifanya kesi hii iwe ndogo sana na ni ngumu sana kuweka,negative
443,Nilirudisha simu yangu kwa ajili ya maonyesho mapya,positive
444,Ningependekeza ninunue mfululizo wa jabra jax10 ambao hufanya kazi bila dosari pamoja na moto q,positive
445,Niliipekua mtandao wa intaneti na kupata kwamba hii ndiyo thamani bora zaidi,positive
446,halifai,negative
447,Nimefurahia sana bidhaa hiyo,positive
448,ukubwa wa kiwambo ni wa sehemu ya juu iliyo pana iliyo na taa za kutosha na ubora wa kamera ni bora sana kwa simu ya kamera,positive
449,hapa hakuna jambo lolote baya ninaloweza kusema kuhusu kichwa hiki,negative
450,ifurahie sana kupata bidhaa hii kwenye amazon ni vigumu kuipata ikiwa imeuzwa kwa bei ya juu,positive
451,Kubebeka na kufanya kazi vizuri,positive
452,Mfanyakazi mwenzangu ninapata pesa kidogo sana kwa ajili ya mapokezi lakini onyesho ni zuri sana,positive
453,Hata niliipindua kabisa kabla ya mimi kwenda kulala na kung'oa jino la buluu na wfi na kugundua kwamba lilikuwa na sehemu 20 tu iliyosalia asubuhi,negative
454,Pia ove alikuwa na matatizo na simu ikisoma kadi ya kumbukumbu ambayo sikuzote mimi huizima kisha huizima tena,negative
455,si nzuri unapovaa kofia au miwani ya jua,negative
456,Bidhaa zilizosafirishwa kwa wakati unaofaa na zilizo bora,positive
457,keyboard label,positive
458,Imetengenezwa vizuri sana na hufaana kabisa na gx2 yangu,positive
459,simu mbaya sana,negative
460,Sehemu isiyo na betri,negative
461,tungeyapendekeza kwa wengine,positive
462,Punguza programu za kompyuta kwa kutumia kompyuta yangu,negative
463,Alivunjika moyo,negative
464,sauti mbaya iliyo wazi,negative
465,betri hufanya kazi nyingi sana,positive
466,Hawatoi wanunuzi wenye majuto juu ya hili,negative
467,amekatishwa tamaa sana kwa kutumia kiseyeye,negative
468,Nagundua kuwa hii haina udhuru na hivyo labda itarudisha simu hii na labda kubadili wabebaji,negative
469,mwenye sura nzuri na mwenye nguvu,positive
470,Nilikuwa na huduma ya gari kwa miaka 2 au 3 sasa na ninaifurahia sana,positive
471,Utaratibu wa kuweka habari mpya ni mgumu na wenye kuchosha,negative
472,Kukatishwa tamaa na chuki yoyote inayoingia katika sikio langu,negative
473,Programu muhimu za kuendesha motabolas,positive
474,safari hiyo ilichukua muda mrefu,positive
475,Ni rahisi sana kutumia,positive
476,Kutostarehe katika sikio usitumie kwa kutumia lug vx99 env,negative
477,kiasi cha sauti kikirushwa kutoka kwenye kizio hicho hadi mahali ambapo hapajulikani,negative
478,lina shtaka kwa muda mrefu ni lenye kustarehesha chini ya hali ndefu za kuvaa na ubora wa sauti ni mkubwa sana,positive
479,"Zinazo kwenda, kisha zikajificha,",negative
480,kibodi inafaa sana na ni imara vya kutosha kutotarajia matatizo yoyote,positive
481,Hata hivyo ni vigumu kuelewa gharama za veriz hata ingawa mipango yao ya kwanza ni sahili,negative
482,baada ya kutumia betri hizo usiku kucha kunakuwa na matokeo makubwa,positive
483,Ndio sasa tena? Na nyinyi mlikuwa mkiihimiza.,positive
484,Ninaipenda simu hii,positive
485,○ hali ya kukata tamaa,negative
486,si mtumiaji mwenye urafiki,negative
487,Kwa kusikitisha uwezo wa kujua hasa unapokea simu ni jambo la maana sana na simu hii ni yenye kusikitisha kwa habari hiyo,negative
488,Kisha nikabadilishana simu ileile hata ile iliyokuwa na tatizo hilohilo,negative
489,Hii hutokeza simu ikiwa imekwama kwenye sohani au bubu,negative
490,Miamba hii ya pida,positive
491,Ni kubwa mno kuweza kutumiwa kama kifaa kidogo chenye umbo la mvyauso na chenye ubora wa hali ya juu katika sehemu hizo,positive
492,Bila shaka ningependekeza jabra bt250v kwa ajili ya wale wanaotafuta faraja na bei kubwa,positive
493,Nilikuwa na verizon miaka 2 iliyopita na nilifurahia sana utumishi wao,positive
494,Sehemu maridadi ya takataka,negative
495,Uzi wa kuunganisha vitu ulikuwa na ukubwa usiofaa,negative
496,hufanya kazi kama inavyoelezwa,positive
497,"Isipo kuwa fedha zenu, na mali zenu kwa miezi 11 sasa",negative
498,nunua vitu vibaya,negative
499,likiwa limeridhika,positive
500,kelele ya bose kufuta ni ya kustaajabisha sana kwa mpita - njia,positive
501,Hakika betri hii ina faida kubwa.,positive
502,Sipsi yenye kasoro,negative
503,"Laiti nisingeli mfanya fulani kuwa nyota,",negative
504,Imevaa miwani na inafaa pamoja nayo,positive
505,ubora wa kifaa hicho haukubaliki ikiwa uko katika eneo tulivu sana ukaribialo kusikia chochote,negative
506,Singependekeza kitu hiki kwa mtu yeyote,negative
507,holi iliyowasili haikulingana na ile picha katika tangazo,negative
508,Matatizo makubwa sana,positive
509,kama vile pitiaji la awali lililoonekana katika chombo hiki na hakuna chochote kinachotendeka,negative
510,Picha hii ya simu ya chura inavutia sana na inavutia sana,positive
511,hujui kamwe ikiwa uliisukuma kwa nguvu vya kutosha au kwa wakati ufaao kwa ajili ya kazi unayotaka au usiyotaka,negative
512,sauti iko wazi na watu wanaizungumzia wanashangazwa na sifa hiyo pia,positive
513,"Nilinunua kisanduku cha alumini kwa ajili ya shoka langu jipya la mnazi na kilikuwa kimefanya kazi vizuri kweli kweli kweli, kimelinda mkono wangu hadi sasa",positive
514,Bidhaa nzuri sana iliyotengenezwa vizuri,positive
515,Ni lazima vifaa vya simu za mkononi viwepo,positive
516,Nimevutiwa sana na kazi iliyofanywa na burola kwa nguvu za simu hii,positive
517,Nilipokea amri zangu vizuri ndani ya wakati wa usafirishaji wa kila kitu kilikuwa na utaratibu mzuri wa kazi na kwa ujumla mimi husisimuka sana kuwa na chanzo hiki,positive
518,simu ni imara na haiwezi kupenya maji,positive
519,Sipendezwi na jambo hili na nisingependekeza kitu hiki kwa mtu yeyote,negative
520,lalamiko langu pekee ni lile kiasi cha sauti cha kiwango cha chini hata kinapotolewa hadi 5% 5,negative
521,Shukrani kwa amazon kwa kuwa na vitu ambavyo ni vya lazima kwa ajili ya bei nzuri,positive
522,Kisha ninaisukuma kwenye ukingo wa suruali au mifuko yangu ya nyuma,positive
523,Ilinibidi kwenda dukani na kununua simu mpya ya nokia ambayo inafanya kazi vizuri,positive
524,ni kazi kubwa,positive
525,sura mbaya kwelikweli,negative
